country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,365658,Operational,ÅSGARD RB,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,,,,,20050826,,315,155007.156641,SUBSEA STRUCTURE; RISER BASE,6.7273056,65.0666389
Norway,424593,Operational,HYME,Fixed steel,Subsea,Equinor Energy AS,NO_6507/8,Crude Oil,,,,20130225,,256,68723.3398884,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,7.5512556,64.3581611
Norway,377652,Operational,TYRIHANS B,Subsea steel,Subsea,Equinor Energy AS,NO_6407/1,Crude Oil,,,,20090708,,273,122851.48173,MULTI WELL TEMPLATE; OIL PRODUCER,7.0567806,64.8116056
Norway,287457,Under construction,MØRE T,,,Gassco AS,,,,,,,,254,82745.1065617,SUBSEA STRUCTURE; T-CONNECTION,5.9936028,63.5999806
Norway,406335,Operational,SKARV ERB,Fixed steel,Other,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121110,,369,161094.049786,SUBSEA STRUCTURE; RISER BASE,7.6544556,65.6941944
Norway,287261,Operational,NORNE/HEIDRUN T,Subsea steel,Subsea,Gassco AS,NO_6506/12,,,,,20010205,,311,154672.573234,SUBSEA STRUCTURE; T-CONNECTION,6.8014611,65.0845167
Norway,284741,Operational,6407/7-A-10 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73810.2229375,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2026222,64.27105
Norway,364352,Operational,SNØHVIT F,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Natural Gas,,,,20080422,,318,105576.309732,MULTI WELL TEMPLATE; GAS INJECTION,21.0580389,71.6110278
Norway,372501,Operational,NORNE K,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20061018,,376,153710.13254,MULTI WELL TEMPLATE; OIL PRODUCER,8.0538889,66.0136111
Norway,451120,Under construction,FENJA G,,,Neptune Energy Norge AS,,,,,,,,325,79479.2662623,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,6.7509,64.03065
Norway,286813,Operational,HEIDRUN PLEM-2,Subsea steel,Subsea,Equinor Energy AS,NO_6507/8,,,,,19951019,,345,157023.610174,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,7.3655083,65.3418472
Norway,442817,Under construction,6407/9-G-5 H,,,OKEA ASA,,,,,,,,289,55166.8795893,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7286778,64.2638639
